Energy [keV]	dN/dE	unc
0	0.000336012	0.00000045774
7	0.000340649	0.000000461722
14	0.00034518	0.000000465479
21	0.000349605	0.000000469011
28	0.000354173	0.000000472667
35	0.00035894	0.00000047652
42	0.000363883	0.00000048054
49	0.000368964	0.000000484672
56	0.000374146	0.000000488863
63	0.000379394	0.000000493069
70	0.000384683	0.000000497255
77	0.000389992	0.000000501393
84	0.000395302	0.000000505461
91	0.000400602	0.000000509441
98	0.000405879	0.000000513321
105	0.000411125	0.000000517089
112	0.000416332	0.000000520738
119	0.000421496	0.000000524261
126	0.00042661	0.000000527654
133	0.000431671	0.000000530913
140	0.000436676	0.000000534035
147	0.000441621	0.000000537019
154	0.000446505	0.000000539863
161	0.000451326	0.000000542567
168	0.000456082	0.000000545129
175	0.000460771	0.000000547552
182	0.000465393	0.000000549834
189	0.000469946	0.000000551976
196	0.000474431	0.000000553981
203	0.000478845	0.000000555847
210	0.00048319	0.000000557577
217	0.000487464	0.000000559173
224	0.000491667	0.000000560635
231	0.000495799	0.000000561965
238	0.000499859	0.000000563166
245	0.000503849	0.000000564239
252	0.000507767	0.000000565185
259	0.000511615	0.000000566007
266	0.000515391	0.000000566706
273	0.000519097	0.000000567286
280	0.000522731	0.000000567747
287	0.000526296	0.000000568092
294	0.00052979	0.000000568323
301	0.000533215	0.000000568442
308	0.00053657	0.000000568451
315	0.000539856	0.000000568353
322	0.000543073	0.00000056815
329	0.000546222	0.000000567844
336	0.000549303	0.000000567436
343	0.000552317	0.000000566931
350	0.000555264	0.000000566328
357	0.000558144	0.000000565632
364	0.000560958	0.000000564843
371	0.000563707	0.000000563964
378	0.000566391	0.000000562998
385	0.000569011	0.000000561946
392	0.000571566	0.000000560811
399	0.000574059	0.000000559594
406	0.000576489	0.000000558298
413	0.000578857	0.000000556926
420	0.000581163	0.000000555477
427	0.000583408	0.000000553956
434	0.000585594	0.000000552364
441	0.000587719	0.000000550703
448	0.000589785	0.000000548975
455	0.000591793	0.000000547182
462	0.000593744	0.000000545325
469	0.000595637	0.000000543407
476	0.000597473	0.000000541429
483	0.000599254	0.000000539393
490	0.000600979	0.000000537302
497	0.00060265	0.000000535156
504	0.000604266	0.000000532957
511	0.00060583	0.000000530707
518	0.00060734	0.000000528408
525	0.000608799	0.000000526061
532	0.000610206	0.000000523667
539	0.000611562	0.000000521229
546	0.000612868	0.000000518747
553	0.000614124	0.000000516222
560	0.000615332	0.000000513657
567	0.000616491	0.000000511053
574	0.000617602	0.00000050841
581	0.000618667	0.00000050573
588	0.000619685	0.000000503014
595	0.000620657	0.000000500263
602	0.000621583	0.000000497479
609	0.000622465	0.000000494661
616	0.000623303	0.000000491812
623	0.000624097	0.000000488932
630	0.000624848	0.000000486021
637	0.000625557	0.000000483082
644	0.000626224	0.000000480113
651	0.00062685	0.000000477117
658	0.000627435	0.000000474094
665	0.000627979	0.000000471043
672	0.000628484	0.000000467967
679	0.00062895	0.000000464865
686	0.000629377	0.000000461738
693	0.000629765	0.000000458586
700	0.000630116	0.00000045541
707	0.00063043	0.000000452209
714	0.000630707	0.000000448985
721	0.000630947	0.000000445736
728	0.000631152	0.000000442464
735	0.000631321	0.000000439169
742	0.000631455	0.000000435849
749	0.000631555	0.000000432506
756	0.00063162	0.00000042914
763	0.000631652	0.000000425749
770	0.00063165	0.000000422335
777	0.000631614	0.000000418896
784	0.000631547	0.000000415433
791	0.000631446	0.000000411945
798	0.000631314	0.000000408431
805	0.00063115	0.000000404892
812	0.000630954	0.000000401327
819	0.000630728	0.000000397735
826	0.00063047	0.000000394116
833	0.000630182	0.000000390469
840	0.000629864	0.000000386794
847	0.000629515	0.000000383089
854	0.000629137	0.000000379354
861	0.000628729	0.000000375589
868	0.000628291	0.000000371792
875	0.000627825	0.000000367962
882	0.000627329	0.000000364099
889	0.000626804	0.000000360202
896	0.000626251	0.000000356269
903	0.000625669	0.0000003523
910	0.000625058	0.000000348294
917	0.00062442	0.000000344249
924	0.000623753	0.000000340164
931	0.000623058	0.000000336038
938	0.000622335	0.000000331872
945	0.000621584	0.000000327673
952	0.000620805	0.000000323431
959	0.000619998	0.000000319143
966	0.000619163	0.000000314807
973	0.0006183	0.000000310424
980	0.00061741	0.000000305991
987	0.000616492	0.000000301506
994	0.000615546	0.000000296969
1001	0.000614572	0.000000292379
1008	0.00061357	0.000000287733
1015	0.000612541	0.00000028303
1022	0.000611483	0.000000278268
1029	0.000610397	0.000000273447
1036	0.000609283	0.000000268564
1043	0.000608141	0.000000263618
1050	0.000606971	0.000000258608
1057	0.000605772	0.000000253531
1064	0.000604544	0.000000248387
1071	0.000603288	0.000000243173
1078	0.000602003	0.000000237889
1085	0.000600689	0.000000232532
1092	0.000599345	0.000000227101
1099	0.000597973	0.000000221595
1106	0.000596571	0.000000216011
1113	0.000595139	0.000000210348
1120	0.000593677	0.000000204605
1127	0.000592185	0.00000019878
1134	0.000590662	0.000000192872
1141	0.000589109	0.000000186878
1148	0.000587526	0.000000180798
1155	0.000585911	0.000000174629
1162	0.000584265	0.000000168371
1169	0.000582587	0.000000162021
1176	0.000580878	0.000000155579
1183	0.000579136	0.000000149043
1190	0.000577362	0.000000142412
1197	0.000575556	0.000000135683
1204	0.000573717	0.000000128856
1211	0.000571844	0.00000012193
1218	0.000569939	0.000000114903
1225	0.000567999	0.000000107773
1232	0.000566025	0.00000010054
1239	0.000564017	0.0000000932032
1246	0.000561975	0.0000000857602
1253	0.000559897	0.0000000782105
1260	0.000557784	0.000000070553
1267	0.000555636	0.0000000627867
1274	0.000553452	0.0000000549107
1281	0.000551232	0.0000000469241
1288	0.000548975	0.0000000388261
1295	0.000546681	0.0000000306159
1302	0.00054435	0.0000000222928
1309	0.000541982	0.0000000138562
1316	0.000539576	0.00000000530563
1323	0.000537133	0.00000000458872
1330	0.00053465	0.0000000134022
1337	0.00053213	0.0000000223314
1344	0.00052957	0.0000000313764
1351	0.000526971	0.0000000405375
1358	0.000524333	0.0000000498146
1365	0.000521654	0.0000000592079
1372	0.000518936	0.0000000687172
1379	0.000516177	0.0000000783422
1386	0.000513378	0.0000000880827
1393	0.000510538	0.0000000979384
1400	0.000507657	0.000000107909
1407	0.000504734	0.000000117993
1414	0.00050177	0.00000012819
1421	0.000498764	0.0000001385
1428	0.000495716	0.000000148922
1435	0.000492625	0.000000159453
1442	0.000489492	0.000000170094
1449	0.000486317	0.000000180843
1456	0.000483099	0.000000191699
1463	0.000479837	0.000000202659
1470	0.000476533	0.000000213723
1477	0.000473185	0.000000224888
1484	0.000469794	0.000000236152
1491	0.000466359	0.000000247513
1498	0.000462881	0.00000025897
1505	0.000459359	0.000000270519
1512	0.000455793	0.000000282158
1519	0.000452183	0.000000293884
1526	0.00044853	0.000000305694
1533	0.000444832	0.000000317586
1540	0.000441091	0.000000329555
1547	0.000437307	0.000000341599
1554	0.000433478	0.000000353714
1561	0.000429606	0.000000365896
1568	0.00042569	0.000000378141
1575	0.000421731	0.000000390446
1582	0.000417728	0.000000402805
1589	0.000413682	0.000000415214
1596	0.000409594	0.000000427669
1603	0.000405462	0.000000440164
1610	0.000401288	0.000000452695
1617	0.000397072	0.000000465256
1624	0.000392814	0.000000477842
1631	0.000388514	0.000000490446
1638	0.000384173	0.000000503063
1645	0.000379791	0.000000515686
1652	0.000375369	0.00000052831
1659	0.000370907	0.000000540927
1666	0.000366405	0.000000553531
1673	0.000361864	0.000000566114
1680	0.000357285	0.000000578669
1687	0.000352667	0.000000591189
1694	0.000348013	0.000000603665
1701	0.000343322	0.000000616089
1708	0.000338595	0.000000628453
1715	0.000333832	0.000000640748
1722	0.000329035	0.000000652966
1729	0.000324205	0.000000665097
1736	0.000319342	0.000000677131
1743	0.000314446	0.000000689059
1750	0.00030952	0.000000700871
1757	0.000304564	0.000000712556
1764	0.000299579	0.000000724104
1771	0.000294566	0.000000735503
1778	0.000289526	0.000000746743
1785	0.00028446	0.000000757813
1792	0.00027937	0.000000768699
1799	0.000274256	0.00000077939
1806	0.000269121	0.000000789874
1813	0.000263964	0.000000800138
1820	0.000258789	0.000000810168
1827	0.000253596	0.000000819951
1834	0.000248387	0.000000829473
1841	0.000243162	0.000000838721
1848	0.000237925	0.000000847679
1855	0.000232676	0.000000856333
1862	0.000227418	0.000000864667
1869	0.000222152	0.000000872667
1876	0.000216879	0.000000880315
1883	0.000211602	0.000000887597
1890	0.000206323	0.000000894494
1897	0.000201044	0.000000900991
1904	0.000195767	0.000000907069
1911	0.000190493	0.000000912711
1918	0.000185226	0.000000917899
1925	0.000179967	0.000000922614
1932	0.000174719	0.000000926838
1939	0.000169484	0.00000093055
1946	0.000164264	0.000000933731
1953	0.000159063	0.000000936361
1960	0.000153883	0.000000938419
1967	0.000148726	0.000000939884
1974	0.000143595	0.000000940735
1981	0.000138493	0.00000094095
1988	0.000133423	0.000000940507
1995	0.000128389	0.000000939382
2002	0.000123392	0.000000937553
2009	0.000118436	0.000000934996
2016	0.000113524	0.000000931687
2023	0.00010866	0.000000927602
2030	0.000103847	0.000000922715
2037	0.0000990888	0.000000917108
2044	0.0000943881	0.000000910732
2051	0.0000897488	0.000000903485
2058	0.0000851748	0.000000895339
2065	0.0000806698	0.000000886268
2072	0.0000762376	0.000000876245
2079	0.0000718821	0.000000865241
2086	0.0000676076	0.000000853227
2093	0.0000634179	0.000000840175
2100	0.0000593174	0.000000826056
2107	0.0000553105	0.000000810839
2114	0.0000514013	0.000000794494
2121	0.0000475946	0.00000077699
2128	0.0000438947	0.000000758297
2135	0.0000403065	0.000000738381
2142	0.0000368347	0.000000717211
2149	0.0000334842	0.000000694755
2156	0.0000302598	0.000000670979
2163	0.0000271667	0.00000064585
2170	0.0000242101	0.000000619334
2177	0.0000213952	0.000000591396
2184	0.0000187273	0.000000562003
2191	0.0000162118	0.000000531119
2198	0.0000138544	0.000000498709
