Energy [keV]	dN/dE	unc
12.1	0.0244086	0.000363289
12.16	0.0240874	0.000365106
12.22	0.0237683	0.000366871
12.28	0.0234514	0.000368585
12.34	0.0231368	0.000370247
12.4	0.0228243	0.000371856
12.46	0.022514	0.000373414
12.52	0.0222058	0.00037492
12.58	0.0218997	0.000376374
12.64	0.0215959	0.000377776
12.7	0.0212942	0.000379124
12.76	0.0209946	0.000380421
12.82	0.0206972	0.000381666
12.88	0.0204019	0.000382858
12.94	0.0201087	0.000383996
13	0.0198176	0.000385082
13.06	0.0195286	0.000386116
13.12	0.0192417	0.000387097
13.18	0.0189569	0.000388025
13.24	0.0186743	0.000388899
13.3	0.0183937	0.00038972
13.36	0.0181152	0.000390487
13.42	0.0178388	0.000391201
13.48	0.0175645	0.000391862
13.54	0.0172922	0.000392468
13.6	0.017022	0.00039302
13.66	0.0167538	0.000393518
13.72	0.0164878	0.000393962
13.78	0.0162238	0.000394351
13.84	0.0159618	0.000394686
13.9	0.015702	0.000394967
13.96	0.0154441	0.000395192
14.02	0.0151883	0.000395361
14.08	0.0149345	0.000395476
14.14	0.0146828	0.000395535
14.2	0.0144332	0.000395538
14.26	0.0141856	0.000395485
14.32	0.01394	0.000395376
14.38	0.0136964	0.000395212
14.44	0.0134549	0.00039499
14.5	0.0132154	0.000394712
14.56	0.0129779	0.000394377
14.62	0.0127425	0.000393985
14.68	0.0125091	0.000393536
14.74	0.0122777	0.000393029
14.8	0.0120484	0.000392464
14.86	0.0118211	0.00039184
14.92	0.0115957	0.000391159
14.98	0.0113725	0.000390419
15.04	0.0111513	0.000389621
15.1	0.0109321	0.000388764
15.16	0.0107148	0.000387847
15.22	0.0104997	0.000386871
15.28	0.0102866	0.000385835
15.34	0.0100755	0.000384739
15.4	0.00986644	0.000383582
15.46	0.00965941	0.000382365
15.52	0.00945441	0.000381087
15.58	0.00925145	0.000379748
15.64	0.00905053	0.000378348
15.7	0.00885164	0.000376885
15.76	0.0086548	0.000375361
15.82	0.00846		0.000373774
15.88	0.00826725	0.000372125
15.94	0.00807655	0.000370412
16	0.0078879	0.000368636
16.06	0.0077013	0.000366797
16.12	0.00751676	0.000364894
16.18	0.00733428	0.000362926
16.24	0.00715387	0.000360894
16.3	0.00697552	0.000358797
16.36	0.00679925	0.000356634
16.42	0.00662505	0.000354501
16.48	0.00645293	0.000352416
16.54	0.0062829	0.000350268
16.6	0.00611495	0.000348051
16.66	0.00594909	0.00034577
16.72	0.00578534	0.000343424
16.78	0.00562369	0.000341013
16.84	0.00546414	0.000338537
16.9	0.00530671	0.000335994
16.96	0.0051514	0.000333386
17.02	0.00499821	0.000330711
17.08	0.00484715	0.000327969
17.14	0.00469823	0.00032516
17.2	0.00455145	0.000322282
17.26	0.00440682	0.000319336
17.32	0.00426434	0.000316322
17.38	0.00412403	0.000313239
17.44	0.00398589	0.000310087
17.5	0.00384992	0.000306865
17.56	0.00371613	0.000303573
17.62	0.00358454	0.00030021
17.68	0.00345514	0.000296776
17.74	0.00332794	0.00029327
17.8	0.00320297	0.000289693
17.86	0.00308021	0.000286044
17.92	0.00295968	0.000282322
17.98	0.00284139	0.000278527
18.04	0.00272534	0.000274658
18.1	0.00261155	0.000270715
18.16	0.00250003	0.000266698
18.22	0.00239078	0.000262605
18.28	0.0022838	0.000258437
18.34	0.00217913	0.000254193
18.4	0.00207675	0.000249873
18.46	0.00197668	0.000245476
18.52	0.00187893	0.000241002
18.58	0.00178352	0.00023645
18.64	0.00169045	0.000231819
18.7	0.00159973	0.00022711
18.76	0.00151138	0.000222322
18.82	0.00142539	0.000217454
18.88	0.00134179	0.000212505
18.94	0.00126058	0.000207475
19	0.00118178	0.000202365
19.06	0.0011054	0.000197172
19.12	0.00103145	0.000191897
19.18	0.000959942	0.000186539
19.24	0.000890888	0.000181098
19.3	0.000824298	0.000175573
19.36	0.000760187	0.000169964
19.42	0.000698565	0.000164269
19.48	0.000639447	0.000158489
19.54	0.000582846	0.000152623
19.6	0.000528774	0.000146669
19.66	0.000477244	0.000140629
19.72	0.000428271	0.000134501
19.78	0.000381867	0.000128284
19.84	0.000338046	0.000121979
19.9	0.000296823	0.000115584
19.96	0.000258211	0.000109099
20.02	0.000222224	0.000102523
20.08	0.000188878	0.0000958551
20.14	0.000158187	0.0000890963
20.2	0.000130165	0.0000822447
20.26	0.000104827	0.0000753
20.32	0.0000821896	0.0000682615
20.38	0.0000622671	0.0000611286
20.44	0.0000450752	0.0000539009
20.5	0.0000306296	0.0000465776
20.56	0.0000189463	0.0000391581
20.62	0.0000100413	0.0000316416
20.68	0.00000393067	0.0000240278
20.74	0.000000631007	0.0000163158
20.78	0	0
