Energy [keV]	dN/dE	unc
90	0.00216045	0.0000128238
91	0.00215849	0.0000127915
92	0.0021565	0.000012759
93	0.00215451	0.0000127265
94	0.0021525	0.0000126937
95	0.00215048	0.0000126609
96	0.00214846	0.0000126278
97	0.00214642	0.0000125946
98	0.00214436	0.0000125613
99	0.0021423	0.0000125278
100	0.00214022	0.0000124942
102	0.00213603	0.0000124264
104	0.0021318	0.0000123581
106	0.00212753	0.0000122891
108	0.0021232	0.0000122197
110	0.00211885	0.0000121496
112	0.00211444	0.0000120789
114	0.00211	0.0000120076
116	0.00210551	0.0000119359
118	0.00210099	0.0000118635
120	0.00209643	0.0000117906
122	0.00209184	0.0000117172
124	0.0020872	0.0000116431
126	0.00208254	0.0000115686
128	0.00207783	0.0000114935
130	0.00207309	0.0000114178
132	0.00206832	0.0000113418
134	0.00206352	0.0000112651
136	0.00205868	0.000011188
138	0.00205381	0.0000111103
140	0.00204891	0.0000110321
142	0.00204399	0.0000109534
144	0.00203904	0.0000108743
146	0.00203405	0.0000107946
148	0.00202905	0.0000107144
150	0.00202402	0.0000106338
152	0.00201896	0.0000105527
154	0.00201387	0.0000104711
156	0.00200877	0.0000103891
158	0.00200364	0.0000103066
160	0.00199849	0.0000102237
162	0.00199332	0.0000101402
164	0.00198812	0.0000100564
166	0.00198292	0.00000997213
168	0.00197769	0.00000988735
170	0.00197244	0.00000980229
172	0.00196719	0.00000971665
174	0.0019619	0.00000963072
176	0.00195661	0.00000954428
178	0.0019513	0.00000945747
180	0.00194599	0.00000937025
182	0.00194064	0.00000928263
184	0.0019353	0.00000919462
186	0.00192995	0.00000910623
188	0.00192458	0.00000901744
190	0.0019192	0.00000892828
192	0.00191382	0.00000883875
194	0.00190843	0.00000874885
196	0.00190302	0.00000865858
198	0.00189763	0.00000856796
200	0.00189221	0.00000847699
202	0.00188681	0.00000838567
204	0.00188138	0.000008294
206	0.00187597	0.000008202
208	0.00187055	0.00000810967
210	0.00186513	0.00000801701
212	0.00185971	0.00000792404
214	0.00185429	0.00000783074
216	0.00184887	0.00000773714
218	0.00184345	0.00000764323
220	0.00183803	0.00000754902
222	0.00183263	0.00000745452
224	0.00182723	0.00000735973
226	0.00182183	0.00000726465
228	0.00181645	0.0000071693
230	0.00181106	0.00000707368
232	0.00180569	0.00000697778
234	0.00180033	0.000006883
236	0.00179498	0.00000678842
238	0.00178964	0.00000669359
240	0.00178431	0.00000659851
242	0.00177899	0.00000650319
244	0.00177368	0.00000640764
246	0.00176837	0.00000631186
248	0.00176306	0.00000621585
250	0.00175777	0.00000611962
252	0.00175247	0.00000602318
254	0.00174719	0.00000592653
256	0.00174192	0.00000582968
258	0.00173667	0.00000573263
260	0.00173139	0.00000563539
262	0.0017261	0.00000553796
264	0.00172077	0.00000544036
266	0.00171541	0.00000534257
268	0.00171003	0.00000524462
270	0.00170462	0.0000051465
272	0.00169919	0.00000504822
274	0.00169373	0.00000494979
276	0.00168824	0.00000485122
278	0.00168273	0.0000047525
280	0.00167719	0.00000465365
282	0.00167163	0.00000455467
284	0.00166604	0.00000445556
286	0.00166043	0.00000435633
288	0.00165479	0.00000425699
290	0.00164914	0.00000415754
292	0.00164346	0.00000405799
294	0.00163776	0.00000395834
296	0.00163204	0.00000385861
298	0.00162629	0.00000375879
300	0.00162053	0.00000365889
302	0.00161474	0.00000355893
304	0.00160893	0.00000345888
306	0.0016031	0.00000335878
308	0.00159726	0.00000325864
310	0.00159139	0.00000315843
312	0.00158551	0.00000305818
314	0.0015796	0.0000029579
