isotope,proportion
Sr90,5.356e-4
Y90,1.3922e-7
Pu241,1.316e-3
Cs137,1.212e-3
Am242,3.554e-8
Cs135,3.1282e-4
I129,1.7535e-4
Np239,7.5852e-5
Tc99,7.9742e-4
Zr93,1.7681e-6
Ce144,4.0111e-4
Kr88,1.427e-10
Pr144,1.6896e-8
Rb88,1.6645e-11
Rh106,1.6389e-10
Ru106,1.7496e-4
